update_id,bearing,latitude,longitude,speed,trip_id,vehicle_id,timestamp,is_updated,percentage,rel_timestamp
11,171.60000610351562,48.41852951049805,-123.36888885498047,1.659999966621399,1831951:5215084:5239155,3131359549,1710898078175,1,0.0008175666536314565,0
11,163.60000610351562,48.41831970214844,-123.36884307861328,2.2200000286102295,1831951:5215084:5239155,3131359549,1710898108250,1,0.0021297744906624344,30075
11,83.5,48.41840362548828,-123.36714172363281,8.050000190734863,1831951:5215084:5239155,3131359549,1710898138216,1,0.0046122476321957305,60041
11,341,48.41958999633789,-123.36615753173828,9.4399995803833,1831951:5215084:5239155,3131359549,1710898168649,1,0.01859683970795157,90474
11,5.900000095367432,48.421142578125,-123.3662109375,8.050000190734863,1831951:5215084:5239155,3131359549,1710898198309,1,0.028436695284770726,120134
11,5.900000095367432,48.421142578125,-123.3662109375,8.050000190734863,1831951:5215084:5239155,3131359549,1710898228308,1,0.028436695284770726,150133
11,0,48.42258834838867,-123.36575317382812,0.550000011920929,1831951:5215084:5239155,3131359549,1710898258566,1,0.02984848236081183,180391
11,0,48.42259979248047,-123.36578369140625,0,1831951:5215084:5239155,3131359549,1710898288260,1,0.029827208737957026,210085
12,4.199999809265137,48.422969818115234,-123.36566925048828,2.5,1831951:5215084:5239155,3131359549,1710898318273,1,0.04091518132622064,240098
11,12.600000381469727,48.42396926879883,-123.3654556274414,5.829999923706055,1831951:5215084:5239155,3131359549,1710898348273,1,0.045215320010429445,270098
11,0,48.42444610595703,-123.3653564453125,0,1831951:5215084:5239155,3131359549,1710898378172,1,0.05131991714522443,299997
11,0,48.4244384765625,-123.365234375,0.550000011920929,1831951:5215084:5239155,3131359549,1710898408184,1,0.05119571764717508,330009
11,10.100000381469727,48.42552947998047,-123.36505126953125,10.270000457763672,1831951:5215084:5239155,3131359549,1710898438263,1,0.05924392893753098,360088
11,6.199999809265137,48.42609405517578,-123.36492156982422,4.159999847412109,1831951:5215084:5239155,3131359549,1710898468278,1,0.0553962561467422,390103
10,7.900000095367432,48.426265716552734,-123.36488342285156,3.609999895095825,1831951:5215084:5239155,3131359549,1710898498371,1,0.0553962561467422,420196
10,0,48.427825927734375,-123.36445617675781,0,1831951:5215084:5239155,3131359549,1710898528252,1,0.06925750118527553,450077
10,0,48.427791595458984,-123.36450958251953,0,1831951:5215084:5239155,3131359549,1710898558209,1,0.06925750118527553,480034
10,2.799999952316284,48.428401947021484,-123.36439514160156,9.4399995803833,1831951:5215084:5239155,3131359549,1710898588286,1,0.07577948898189692,510111
10,2.799999952316284,48.428401947021484,-123.36439514160156,9.4399995803833,1831951:5215084:5239155,3131359549,1710898618172,1,0.07577948898189692,539997
10,356.20001220703125,48.43049621582031,-123.36444091796875,12.770000457763672,1831951:5215084:5239155,3131359549,1710898648137,1,0.08189814351753025,569962
9,356.6000061035156,48.43208312988281,-123.36451721191406,7.21999979019165,1831951:5215084:5239155,3131359549,1710898678258,1,0.09170345281649299,600083
9,357.79998779296875,48.43288040161133,-123.36449432373047,10.829999923706055,1831951:5215084:5239155,3131359549,1710898708376,1,0.1058471695739298,630201
9,340.3999938964844,48.43513107299805,-123.3650894165039,10.829999923706055,1831951:5215084:5239155,3131359549,1710898738060,1,0.11731257318818064,659885
9,342.29998779296875,48.43692398071289,-123.36598205566406,7.21999979019165,1831951:5215084:5239155,3131359549,1710898768197,1,0.12317648547926309,690022
9,337.8999938964844,48.4376220703125,-123.36644744873047,9.4399995803833,1831951:5215084:5239155,3131359549,1710898798209,1,0.12952629060270682,720034
9,337.8999938964844,48.4376220703125,-123.36644744873047,9.4399995803833,1831951:5215084:5239155,3131359549,1710898828227,1,0.12952629060270682,750052
9,0,48.4381217956543,-123.36669921875,0,1831951:5215084:5239155,3131359549,1710898858364,1,0.13271118673396554,780189
9,340.20001220703125,48.439823150634766,-123.36768341064453,13.609999656677246,1831951:5215084:5239155,3131359549,1710898888266,1,0.14436433852869351,810091
8,338.5,48.443153381347656,-123.3695068359375,14.720000267028809,1831951:5215084:5239155,3131359549,1710898918226,1,0.1664097482733157,840051
8,338,48.44499969482422,-123.37063598632812,5,1831951:5215084:5239155,3131359549,1710898948205,1,0.17675051480471726,870030
33,77.80000305175781,48.41830062866211,-123.3684310913086,6.380000114440918,1833035:5213577:5240882,3131359525,1710898948205,1,0.0023709559144819733,0
8,0,48.44567108154297,-123.37093353271484,0,1831951:5215084:5239155,3131359549,1710898978288,1,0.184901167674932,900113
33,84.5,48.41839599609375,-123.36709594726562,10,1833035:5213577:5240882,3131359525,1710898978288,1,0.004481215664436789,30083
8,337.29998779296875,48.447452545166016,-123.37200927734375,6.940000057220459,1831951:5215084:5239155,3131359549,1710899008488,1,0.19757498043602698,930313
33,84.5,48.41839599609375,-123.36709594726562,10,1833035:5213577:5240882,3131359525,1710899008488,1,0.004481215664436789,60283
8,0,48.449134826660156,-123.37320709228516,0.8299999833106995,1831951:5215084:5239155,3131359549,1710899038192,1,0.20928353463468502,960017
33,340.1000061035156,48.418888092041016,-123.36575317382812,8.329999923706055,1833035:5213577:5240882,3131359525,1710899038192,1,0.004787000936927116,89987
8,0,48.44987869262695,-123.3736572265625,1.659999966621399,1831951:5215084:5239155,3131359549,1710899068223,1,0.21387244803185812,990048
33,350.70001220703125,48.41972732543945,-123.3662109375,6.940000057220459,1833035:5213577:5240882,3131359525,1710899068223,1,0.01949806696533109,120018
8,338.1000061035156,48.45231246948242,-123.37506103515625,11.109999656677246,1831951:5215084:5239155,3131359549,1710899098112,1,0.2316762478433439,1019937
